,user_id,type,use_days,use_duration,avg_cont_use,total_calls_log10,usage_range,mean_usage_scaled,sd_usage_scaled,cluster_label
747,478,gnql,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.18228601192847693,2.8714787146256258e-06,0.5,0.5,1
748,479,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
749,480,gnql,0.0,0.0,0.0,0.10566425175617139,0.0,1.0,0.0,0
750,481,gnql,0.0,0.0,0.0,0.08175302483242448,0.0,1.0,0.0,0
751,482,gnql,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.17045199109613052,1.0768045179846097e-06,0.5,0.5,1
752,483,gnql,0.0,0.0,0.0,0.18490743646226981,0.0,1.0,0.0,0
753,484,gnql,0.0,0.0,0.0,0.16350604966484897,0.0,1.0,0.0,0
756,486,gnql,0.0,0.0,0.0,0.2218067786192352,0.0,1.0,0.0,0
757,487,gnql,0.008547008547008548,0.042735042735042736,0.0,0.2341374115800287,3.0509461342897273e-06,0.5,0.5,1
758,488,gnql,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.31834229566521494,2.422810165465372e-05,0.5,0.5,1
759,489,gnql,0.0,0.0,0.0,0.10566425175617139,0.0,1.0,0.0,0
760,490,gnql,0.0,0.0,0.0,0.09491232260021532,0.0,1.0,0.0,0
761,491,gnql,0.0,0.0,0.0,0.10566425175617139,0.0,1.0,0.0,0
762,492,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
764,493,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
767,495,gnql,0.008547008547008548,0.042735042735042736,0.0,0.19436321801987744,1.2562719376487113e-06,0.5,0.5,1
768,496,gnql,0.0,0.0,0.0,0.25301844043523447,0.0,1.0,0.0,0
769,497,gnql,0.008547008547008548,0.05982905982905984,0.0,0.14140949951226467,5.384022589923049e-07,0.5,0.5,1
770,498,gnql,0.0,0.0,0.0,0.14654076417238365,0.0,1.0,0.0,0
771,499,gnql,0.0,0.0,0.0,0.14140949951226467,0.0,1.0,0.0,0
772,500,gnql,0.0,0.0,0.0,0.1965079031606267,0.0,1.0,0.0,0
774,501,gnql,0.008547008547008548,0.05982905982905984,0.0,0.10566425175617139,3.589348393282032e-07,0.5,0.5,1
777,503,gnql,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.12262953724863672,7.178696786564064e-07,0.5,0.5,1
778,504,gnql,0.0,0.0,0.0,0.13578883501642755,0.0,1.0,0.0,0
779,505,gnql,0.0,0.0,0.0,0.06478773933995914,0.0,1.0,0.0,0
780,506,gnql,0.0,0.0,0.0,0.08175302483242448,0.0,1.0,0.0,0
782,507,gnql,0.025641025641025644,0.05128205128205129,0.0028490028490028487,0.28750180265081837,7.358164206228166e-06,0.5548780487804879,0.3834682361836616,1
784,508,gnql,0.0,0.0,0.0,0.22578394887848208,0.0,1.0,0.0,0
785,509,gnql,0.0,0.0,0.0,0.12262953724863672,0.0,1.0,0.0,0
