,dt,user_id,type,api_count,cluster_label
378,2021-08-24,69,riot,2,0
379,2021-08-24,6,context,389,-1
380,2021-08-24,6,gnql,4,-1
381,2021-08-24,6,riot,1,-1
382,2021-08-24,70,analysis,17,0
383,2021-08-24,70,gnql,8,0
384,2021-08-24,70,riot,2,0
385,2021-08-24,9,gnql,3,-1
386,2021-08-24,9,riot,1,-1
387,2021-08-24,48,gnql,2,-1
388,2021-08-24,11,gnql,1,-1
389,2021-08-24,71,analysis,96,-1
390,2021-08-24,29,gnql,4,-1
391,2021-08-24,29,riot,3,-1
392,2021-08-24,72,gnql,18,-1
393,2021-08-24,72,riot,1,-1
394,2021-08-24,30,gnql,3,1
395,2021-08-24,30,riot,1,-1
396,2021-08-24,73,gnql,3,-1
397,2021-08-24,73,riot,1,0
398,2021-08-24,27,gnql,19,-1
399,2021-08-24,27,riot,6,-1
400,2021-08-24,37,gnql,173,-1
401,2021-08-24,12,gnql,5,1
402,2021-08-24,14,gnql,24,-1
403,2021-08-24,52,gnql,3,-1
404,2021-08-24,52,riot,1,-1
405,2021-08-24,31,gnql,15,-1
406,2021-08-24,31,riot,4,-1
407,2021-08-24,39,gnql,3,-1
408,2021-08-24,39,riot,1,0
409,2021-08-24,61,gnql,51,-1
410,2021-08-24,15,gnql,8,-1
411,2021-08-24,28,gnql,3,-1
412,2021-08-24,28,riot,1,-1
413,2021-08-24,74,analysis,32,-1
414,2021-08-24,74,gnql,153,0
415,2021-08-24,74,riot,66,0
416,2021-08-24,68,gnql,3,-1
417,2021-08-24,68,riot,1,-1
418,2021-08-24,51,gnql,16,-1
419,2021-08-24,21,gnql,487,-1
420,2021-08-24,24,gnql,6,-1
421,2021-08-25,45,gnql,3,-1
422,2021-08-25,45,riot,1,-1
423,2021-08-25,0,gnql,144,-1
424,2021-08-25,4,context,177900,-1
425,2021-08-25,5,gnql,12,-1
426,2021-08-25,64,gnql,4,-1
427,2021-08-25,64,riot,2,-1
428,2021-08-25,6,context,338,-1
429,2021-08-25,7,gnql,5,-1
430,2021-08-25,75,riot,1,-1
431,2021-08-25,48,gnql,8,-1
432,2021-08-25,11,gnql,1,-1
433,2021-08-25,29,gnql,9,-1
434,2021-08-25,29,riot,3,-1
435,2021-08-25,76,gnql,2,-1
436,2021-08-25,72,gnql,1,-1
437,2021-08-25,30,gnql,5,1
438,2021-08-25,27,gnql,25,-1
439,2021-08-25,27,riot,5,-1
440,2021-08-25,37,gnql,169,-1
441,2021-08-25,12,gnql,2,1
442,2021-08-25,14,context,26572,-1
443,2021-08-25,14,gnql,21,-1
444,2021-08-25,14,noise_quick,1519132,-1
445,2021-08-25,14,riot,5000,-1
446,2021-08-25,52,gnql,3,-1
447,2021-08-25,52,riot,1,-1
448,2021-08-25,31,gnql,5,-1
449,2021-08-25,31,riot,2,-1
450,2021-08-25,61,gnql,12,-1
451,2021-08-25,15,gnql,7,-1
452,2021-08-25,15,riot,2,-1
453,2021-08-25,16,gnql,2,-1
454,2021-08-25,16,riot,1,-1
455,2021-08-25,77,gnql,4,-1
456,2021-08-25,77,riot,1,-1
457,2021-08-25,50,analysis,8,-1
458,2021-08-25,50,gnql,22,-1
459,2021-08-25,50,riot,8,-1
460,2021-08-25,66,gnql,14,-1
461,2021-08-25,66,riot,5,-1
462,2021-08-25,51,analysis,21,-1
463,2021-08-25,51,riot,2,-1
464,2021-08-25,21,gnql,447,-1
465,2021-08-25,21,noise_quick,999820,-1
466,2021-08-26,0,gnql,138,-1
467,2021-08-26,4,context,183657,-1
468,2021-08-26,6,context,315,-1
469,2021-08-26,78,analysis,13,-1
470,2021-08-26,7,gnql,2,-1
471,2021-08-26,10,gnql,2,-1
472,2021-08-26,10,riot,1,-1
473,2021-08-26,48,gnql,1,-1
474,2021-08-26,30,gnql,6,1
475,2021-08-26,27,gnql,10,-1
476,2021-08-26,37,gnql,9,-1
477,2021-08-26,12,gnql,16,1
478,2021-08-26,14,gnql,12,-1
479,2021-08-26,14,noise_quick,75374,-1
480,2021-08-26,52,gnql,4,-1
481,2021-08-26,52,riot,1,-1
482,2021-08-26,31,gnql,9,-1
483,2021-08-26,31,riot,1,-1
484,2021-08-26,67,gnql,35,-1
485,2021-08-26,67,riot,9,-1
486,2021-08-26,28,gnql,5,-1
487,2021-08-26,28,riot,2,-1
488,2021-08-26,77,riot,1,-1
489,2021-08-26,50,analysis,90,-1
490,2021-08-26,50,gnql,3,-1
491,2021-08-26,79,gnql,4,-1
492,2021-08-26,80,gnql,4,-1
493,2021-08-26,80,riot,2,-1
494,2021-08-26,51,analysis,63,-1
495,2021-08-26,51,gnql,11,-1
496,2021-08-26,21,gnql,403,-1
497,2021-08-26,43,context,1,-1
498,2021-08-26,43,riot,1,-1
499,2021-08-27,0,gnql,129,-1
500,2021-08-27,2,gnql,6,1
501,2021-08-27,4,context,178018,-1
502,2021-08-27,60,gnql,10,1
503,2021-08-27,6,context,237,-1
504,2021-08-27,47,gnql,2,-1
505,2021-08-27,81,context,2,-1
506,2021-08-27,81,riot,1,-1
507,2021-08-27,27,gnql,2,-1
508,2021-08-27,82,context,1,0
509,2021-08-27,82,gnql,4,0
510,2021-08-27,37,gnql,54,-1
511,2021-08-27,12,gnql,2,1
512,2021-08-27,14,context,2,-1
513,2021-08-27,14,gnql,19,-1
514,2021-08-27,14,noise_quick,900307,-1
515,2021-08-27,14,riot,4,-1
516,2021-08-27,67,analysis,2,-1
517,2021-08-27,67,gnql,6,-1
518,2021-08-27,61,gnql,36,-1
519,2021-08-27,79,gnql,7,-1
520,2021-08-27,51,gnql,11,-1
521,2021-08-27,21,context,31,-1
522,2021-08-27,21,gnql,731,-1
523,2021-08-27,21,noise_quick,49,-1
524,2021-08-27,21,riot,46,-1
525,2021-08-27,83,gnql,5,-1
526,2021-08-28,0,gnql,135,-1
527,2021-08-28,25,analysis,101,-1
528,2021-08-28,4,context,80304,-1
529,2021-08-28,6,context,162,-1
530,2021-08-28,11,gnql,4,-1
531,2021-08-28,14,gnql,24,-1
532,2021-08-28,31,gnql,3,-1
533,2021-08-28,40,gnql,2,1
534,2021-08-28,77,gnql,2,-1
535,2021-08-28,65,gnql,2,-1
536,2021-08-28,66,gnql,7,-1
537,2021-08-28,21,gnql,319,-1
538,2021-08-28,21,noise_quick,16,-1
539,2021-08-29,0,gnql,126,-1
540,2021-08-29,4,context,75802,-1
541,2021-08-29,6,context,99,-1
542,2021-08-29,38,context,1,-1
543,2021-08-29,38,noise_quick,1,0
544,2021-08-29,38,riot,1,0
545,2021-08-29,14,gnql,24,-1
546,2021-08-29,21,gnql,717,-1
547,2021-08-29,21,noise_quick,5,-1
548,2021-08-30,0,gnql,144,-1
549,2021-08-30,2,gnql,5,1
550,2021-08-30,2,riot,2,-1
551,2021-08-30,4,context,137825,-1
552,2021-08-30,6,context,341,-1
553,2021-08-30,81,context,1,-1
554,2021-08-30,81,riot,1,-1
555,2021-08-30,48,gnql,2,-1
556,2021-08-30,29,gnql,2,-1
557,2021-08-30,29,riot,1,-1
558,2021-08-30,84,gnql,5,1
559,2021-08-30,84,riot,1,0
560,2021-08-30,27,gnql,1,-1
561,2021-08-30,13,gnql,1,1
562,2021-08-30,14,context,49519,-1
563,2021-08-30,14,gnql,24,-1
564,2021-08-30,14,noise_quick,298508,-1
565,2021-08-30,14,riot,4041,-1
566,2021-08-30,15,gnql,14,-1
567,2021-08-30,50,analysis,2,-1
568,2021-08-30,50,gnql,2,-1
569,2021-08-30,50,riot,1,-1
570,2021-08-30,51,gnql,21,-1
571,2021-08-30,51,riot,1,-1
572,2021-08-30,21,context,10,-1
573,2021-08-30,21,gnql,395,-1
574,2021-08-30,21,noise_quick,29,-1
575,2021-08-30,21,riot,22,-1
576,2021-08-30,85,gnql,4,0
577,2021-08-30,43,context,3,-1
578,2021-08-30,43,riot,3,-1
579,2021-08-31,86,gnql,3,-1
580,2021-08-31,0,gnql,144,-1
581,2021-08-31,4,context,128429,-1
582,2021-08-31,6,context,349,-1
583,2021-08-31,87,analysis,7,-1
584,2021-08-31,87,gnql,7,1
585,2021-08-31,63,analysis,20,-1
586,2021-08-31,63,gnql,7,-1
587,2021-08-31,75,gnql,3,1
588,2021-08-31,10,gnql,6,-1
589,2021-08-31,10,riot,2,-1
590,2021-08-31,11,gnql,1,-1
591,2021-08-31,29,gnql,2,-1
592,2021-08-31,29,riot,1,-1
593,2021-08-31,30,gnql,2,1
594,2021-08-31,88,gnql,2,1
595,2021-08-31,88,riot,1,0
596,2021-08-31,27,gnql,5,-1
597,2021-08-31,89,gnql,4,-1
598,2021-08-31,89,riot,2,0
599,2021-08-31,37,gnql,23,-1
600,2021-08-31,12,gnql,8,1
601,2021-08-31,13,gnql,2,1
602,2021-08-31,14,context,4007,-1
603,2021-08-31,14,gnql,28,-1
604,2021-08-31,14,noise_quick,285711,-1
605,2021-08-31,14,riot,2014,-1
606,2021-08-31,31,gnql,7,-1
607,2021-08-31,31,riot,3,-1
608,2021-08-31,67,gnql,44,-1
609,2021-08-31,67,riot,14,-1
610,2021-08-31,61,gnql,63,-1
611,2021-08-31,15,gnql,4,-1
612,2021-08-31,28,gnql,8,-1
613,2021-08-31,28,riot,3,-1
614,2021-08-31,77,gnql,5,-1
615,2021-08-31,90,gnql,1,0
616,2021-08-31,91,gnql,3,-1
617,2021-08-31,91,riot,1,-1
618,2021-08-31,50,gnql,10,-1
619,2021-08-31,50,riot,4,-1
620,2021-08-31,65,gnql,2,-1
621,2021-08-31,65,riot,1,0
622,2021-08-31,68,gnql,31,-1
623,2021-08-31,68,riot,1,-1
624,2021-08-31,79,gnql,24,-1
625,2021-08-31,79,riot,3,-1
626,2021-08-31,66,gnql,22,-1
627,2021-08-31,66,riot,7,-1
628,2021-08-31,51,analysis,42,-1
629,2021-08-31,51,gnql,133,-1
630,2021-08-31,21,gnql,367,-1
631,2021-08-31,21,noise_quick,1,-1
632,2021-09-01,0,gnql,123,-1
633,2021-09-01,25,analysis,101,-1
634,2021-09-01,25,gnql,2,-1
635,2021-09-01,25,riot,1,-1
636,2021-09-01,4,context,184790,-1
637,2021-09-01,64,gnql,3,-1
638,2021-09-01,64,riot,1,-1
639,2021-09-01,6,context,276,-1
640,2021-09-01,92,gnql,18,-1
641,2021-09-01,78,gnql,2,1
642,2021-09-01,93,gnql,3,1
643,2021-09-01,93,riot,1,0
644,2021-09-01,87,gnql,2,1
645,2021-09-01,47,gnql,9,-1
646,2021-09-01,47,riot,7,-1
647,2021-09-01,63,analysis,13,-1
648,2021-09-01,63,gnql,8,-1
649,2021-09-01,63,riot,1,0
650,2021-09-01,75,gnql,2,1
651,2021-09-01,10,gnql,2,-1
652,2021-09-01,10,riot,1,-1
653,2021-09-01,11,gnql,1,-1
654,2021-09-01,72,gnql,2,-1
655,2021-09-01,30,gnql,6,1
656,2021-09-01,37,gnql,122,-1
657,2021-09-01,12,gnql,11,1
658,2021-09-01,13,gnql,2,1
659,2021-09-01,13,riot,1,-1
660,2021-09-01,14,gnql,12,-1
661,2021-09-01,52,gnql,9,-1
662,2021-09-01,52,riot,3,-1
663,2021-09-01,67,gnql,20,-1
664,2021-09-01,67,riot,5,-1
665,2021-09-01,61,gnql,75,-1
666,2021-09-01,28,gnql,7,-1
