dt,user_id,type,api_count
2021-08-23,0,gnql,141
2021-08-23,2,gnql,27
2021-08-23,2,riot,8
2021-08-23,4,context,199570
2021-08-23,64,riot,1
2021-08-23,6,context,282
2021-08-23,7,gnql,11
2021-08-23,7,riot,1
2021-08-23,63,analysis,2
2021-08-23,63,gnql,2
2021-08-23,63,riot,1
2021-08-23,10,gnql,5
2021-08-23,10,riot,2
2021-08-23,49,gnql,4
2021-08-23,49,riot,1
2021-08-23,30,gnql,1
2021-08-23,37,gnql,26
2021-08-23,37,riot,1
2021-08-23,14,context,1
2021-08-23,14,gnql,311
2021-08-23,14,noise_quick,1873539
2021-08-23,14,riot,1
2021-08-23,67,gnql,17
2021-08-23,67,riot,2
2021-08-23,15,gnql,14
2021-08-23,28,gnql,2
2021-08-23,28,riot,1
2021-08-23,16,gnql,12
2021-08-23,16,riot,1
2021-08-23,68,gnql,14
2021-08-23,68,riot,1
2021-08-23,66,gnql,2
2021-08-23,21,context,1
2021-08-23,21,gnql,541
2021-08-23,21,noise_quick,361297
2021-08-23,24,gnql,12
2021-08-24,45,gnql,9
2021-08-24,45,riot,5
2021-08-24,0,gnql,144
2021-08-24,4,context,179747
2021-08-24,60,gnql,3
2021-08-24,60,riot,1
2021-08-24,69,gnql,5
2021-08-24,69,riot,2
2021-08-24,6,context,389
2021-08-24,6,gnql,4
2021-08-24,6,riot,1
2021-08-24,70,analysis,17
2021-08-24,70,gnql,8
2021-08-24,70,riot,2
2021-08-24,9,gnql,3
2021-08-24,9,riot,1
2021-08-24,48,gnql,2
2021-08-24,11,gnql,1
2021-08-24,71,analysis,96
2021-08-24,29,gnql,4
2021-08-24,29,riot,3
2021-08-24,72,gnql,18
2021-08-24,72,riot,1
2021-08-24,30,gnql,3
2021-08-24,30,riot,1
2021-08-24,73,gnql,3
2021-08-24,73,riot,1
2021-08-24,27,gnql,19
2021-08-24,27,riot,6
2021-08-24,37,gnql,173
2021-08-24,12,gnql,5
2021-08-24,14,gnql,24
2021-08-24,52,gnql,3
2021-08-24,52,riot,1
2021-08-24,31,gnql,15
2021-08-24,31,riot,4
2021-08-24,39,gnql,3
2021-08-24,39,riot,1
2021-08-24,61,gnql,51
2021-08-24,15,gnql,8
2021-08-24,28,gnql,3
2021-08-24,28,riot,1
2021-08-24,74,analysis,32
2021-08-24,74,gnql,153
2021-08-24,74,riot,66
2021-08-24,68,gnql,3
2021-08-24,68,riot,1
2021-08-24,51,gnql,16
2021-08-24,21,gnql,487
2021-08-24,24,gnql,6
2021-08-25,45,gnql,3
2021-08-25,45,riot,1
2021-08-25,0,gnql,144
2021-08-25,4,context,177900
2021-08-25,5,gnql,12
2021-08-25,64,gnql,4
2021-08-25,64,riot,2
2021-08-25,6,context,338
2021-08-25,7,gnql,5
2021-08-25,75,riot,1
2021-08-25,48,gnql,8
2021-08-25,11,gnql,1
2021-08-25,29,gnql,9
2021-08-25,29,riot,3
2021-08-25,76,gnql,2
2021-08-25,72,gnql,1
2021-08-25,30,gnql,5
2021-08-25,27,gnql,25
2021-08-25,27,riot,5
2021-08-25,37,gnql,169
2021-08-25,12,gnql,2
2021-08-25,14,context,26572
2021-08-25,14,gnql,21
2021-08-25,14,noise_quick,1519132
2021-08-25,14,riot,5000
2021-08-25,52,gnql,3
2021-08-25,52,riot,1
2021-08-25,31,gnql,5
2021-08-25,31,riot,2
2021-08-25,61,gnql,12
2021-08-25,15,gnql,7
2021-08-25,15,riot,2
2021-08-25,16,gnql,2
2021-08-25,16,riot,1
2021-08-25,77,gnql,4
2021-08-25,77,riot,1
2021-08-25,50,analysis,8
2021-08-25,50,gnql,22
2021-08-25,50,riot,8
2021-08-25,66,gnql,14
2021-08-25,66,riot,5
2021-08-25,51,analysis,21
2021-08-25,51,riot,2
2021-08-25,21,gnql,447
2021-08-25,21,noise_quick,999820
2021-08-26,0,gnql,138
2021-08-26,4,context,183657
2021-08-26,6,context,315
2021-08-26,78,analysis,13
2021-08-26,7,gnql,2
2021-08-26,10,gnql,2
2021-08-26,10,riot,1
2021-08-26,48,gnql,1
2021-08-26,30,gnql,6
2021-08-26,27,gnql,10
2021-08-26,37,gnql,9
2021-08-26,12,gnql,16
2021-08-26,14,gnql,12
2021-08-26,14,noise_quick,75374
2021-08-26,52,gnql,4
2021-08-26,52,riot,1
2021-08-26,31,gnql,9
2021-08-26,31,riot,1
2021-08-26,67,gnql,35
2021-08-26,67,riot,9
2021-08-26,28,gnql,5
2021-08-26,28,riot,2
2021-08-26,77,riot,1
2021-08-26,50,analysis,90
2021-08-26,50,gnql,3
2021-08-26,79,gnql,4
2021-08-26,80,gnql,4
2021-08-26,80,riot,2
2021-08-26,51,analysis,63
2021-08-26,51,gnql,11
2021-08-26,21,gnql,403
2021-08-26,43,context,1
2021-08-26,43,riot,1
2021-08-27,0,gnql,129
2021-08-27,2,gnql,6
2021-08-27,4,context,178018
2021-08-27,60,gnql,10
2021-08-27,6,context,237
2021-08-27,47,gnql,2
2021-08-27,81,context,2
2021-08-27,81,riot,1
2021-08-27,27,gnql,2
2021-08-27,82,context,1
2021-08-27,82,gnql,4
2021-08-27,37,gnql,54
2021-08-27,12,gnql,2
2021-08-27,14,context,2
2021-08-27,14,gnql,19
2021-08-27,14,noise_quick,900307
2021-08-27,14,riot,4
2021-08-27,67,analysis,2
2021-08-27,67,gnql,6
2021-08-27,61,gnql,36
2021-08-27,79,gnql,7
2021-08-27,51,gnql,11
2021-08-27,21,context,31
2021-08-27,21,gnql,731
2021-08-27,21,noise_quick,49
2021-08-27,21,riot,46
2021-08-27,83,gnql,5
2021-08-28,0,gnql,135
2021-08-28,25,analysis,101
2021-08-28,4,context,80304
2021-08-28,6,context,162
2021-08-28,11,gnql,4
2021-08-28,14,gnql,24
2021-08-28,31,gnql,3
2021-08-28,40,gnql,2
2021-08-28,77,gnql,2
2021-08-28,65,gnql,2
2021-08-28,66,gnql,7
2021-08-28,21,gnql,319
2021-08-28,21,noise_quick,16
2021-08-29,0,gnql,126
2021-08-29,4,context,75802
2021-08-29,6,context,99
2021-08-29,38,context,1
2021-08-29,38,noise_quick,1
2021-08-29,38,riot,1
2021-08-29,14,gnql,24
2021-08-29,21,gnql,717
2021-08-29,21,noise_quick,5
2021-08-30,0,gnql,144
